County,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860
Modoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,783,757,750,831,797,849,277,833,799,832,735,636,653,653,754,647,577,366,326,279,359,442,872,894,827,814,542,541,882,673,989,897,1187,1113,1003,905,880,729,828,783,750,744,723,572,670,418,745,710,902,922,753,484,645,627,481,145,448,301,360,493,417,574,,,,,25,66,118,32,,5,,,29,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,4524,5957,7010,3564,7969,8713,9524,10476,10457,10581,9721,9805,9772,14531,16925,15638,16802,16386,16473,16058,14880,13117,12310,12539,12842,12070,12835,13079,14217,15841,19717,16475,11971,5211,16513,14905,15942,16300,14284,14085,13143,14563,16861,16369,16301,16069,13440,13747,13416,15338,15859,16492,16865,16672,15413,18103,17227,16675,14424,13869,12202,12962,12708,12565,11939,3948,11813,9305,10694,10755,9882,10463,10112,9590,9068,7626,6900,6985,6837,11718,12830,11367,11239,11948,13326,11119,8562,9399,6060,5600,5508,5170,4872,4002,3423,3695,3393,3266,3260,5375,5360,5533,5761,5906,4789,4233,4475,4627,4605,4115,4570,3524,4381,4452,2742,2033,1920,1708,2018,1971,2361,2301,2115,1771,1907,1931,1914,1873,1913,1915,2156,1958,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507,3495,3670,3087,3198,3212,3494,3338,3178,3132,3128,3280,3335,3208,3086,2940,2921,3238,,,2262,1279,3132,3122,2085,1944,1991,1834,1930,1888,1908,1917,1874,1952,1863,1702,1861,,1539,1601,1574,1370,1323,1428,1410,1463,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,2952,2652,5177,2650,4846,,,,,,,,,,,,,7440,15283,16589,16475,19750,16363,15598,14434,14013,13781,14533,14276,13955,13846,12732,9475,4369,12737,12776,13025,12748,13030,16667,16933,17360,17135,17241,14350,12573,10292,10546,10838,9271,9163,9052,8524,8614,8101,7661,7563,7703,7454,7439,7002,7018,7014,6631,6389,2152,7193,10288,6525,10222,11023,11196,10192,9639,9223,8942,8629,5561,7940,9598,7857,7931,7379,7079,8688,8701,7394,6969,6572,6484,6580,7602,7593,7766,7288,6899,6974,7312,5686,8111,7277,7198,5272,3771,4339,1220,3882,3743,4243,4750,4706,4374,4324,2772,3920,3937,1740,2220,1380,2108,2057,1435,1366,1174,1055,990,627,505,515,414,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,3421,3120,3165,3197,3064,3250,3057,3028,3201,2951,2903,2894,2882,3033,2745,3310,3924,3686,3517,3371,3217,3311,3272,3323,3310,3292,3293,3358,3235,3320,3288,3426,3199,3092,3092,820,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,699,618,529,704,522,706,749,828,851,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,101,55,,,,,,,,,,11736,16862,15843,14269,13698,13131,16507,18700,17725,5126,15393,10200,9836,6925,773,5473,7714,3655,6964,8213,5954,6047,6186,6368,6557,6752,7256,7249,7982,11064,5594,6102,4935,6581,7737,5683,6401,6050,6646,4755,4062,4097,1492,1801,1592,1804,2012,1464,708,572,515,491,636,564,596,615,653,673,550,494,434,504,645,599,459,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,687,689,510,338,437,600,145,560,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21301,24362,28959,26205,,,,,,,,1595,5977,429,288,3644,,,,,,,6590,8426,7646,5727,2378,7570,15085,13111,9027,8953,8603,8514,7570,10422,9466,8922,7446,3883,9371,6773,,,7260,6872,,,,1115,4443,4420,7817,9956,4159,3800,4189,4643,5102,5105,5658,9768,5564,4720,4612,6682,7692,7664,6892,6272,4770,2979,2932,3013,2878,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,1747,1200,1276,1097,1275,1500,1287,1077,1511,673,1637,1164,550,1467,1524,1180,1517,1046,1716,2031,1713,1917,1722,23131,19514,5011,1585,1842,1719,1885,1884,1897,2283,2031,1774,1459,1231,916,525,1011,931,1816,792,725,197,614,483,559,502,19,,,,,,40,,,10641,11156,9017,11980,10601,10997,14206,16744,14492,12227,11147,4612,14694,12698,12972,12978,12851,8323,10301,10234,8667,6350,8372,4763,5745,5263,4623,4602,4322,4041,3919,4116,4335,4391,3981,4029,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,,,,,,,,,18,103,,,53,360,,,,1829,1800,1634,1648,1813,1684,1673,1780,1788,1912,1945,1676,1699,1750,1952,1310,582,1666,1682,1936,1815,1691,1797,1929,1970,1823,1651,24792,17310,24014,24007,23740,24108,20333,12133,21279,21510,12701,20335,17661,17722,15586,17882,17469,16994,14284,11352,12535,4118,11363,9369,8780,7671,6814,6802,6640,5968,5343,4663,4467,4217,4246,4055,4749,3477,3531,5408,6044,6628,4350,4448,3399,3257,4694,4173,4102,4216,2231,4081,1937,,511,521,579,556,589,535,478,451,460,451,438,456,471,470,432,432,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,18315,20323,25233,13924,27775,29011,27993,32417,30611,34436,35760,24012,38687,11673,43503,44483,43396,44467,61172,56413,52024,53090,34496,39000,43279,41345,41783,42972,44676,42310,39887,36214,22792,9055,25547,26101,26719,20871,23229,19918,20530,20897,19088,16502,14613,12453,12641,12267,11149,12008,11907,11406,11058,10948,10807,10821,11422,10624,9367,8576,8924,8919,8744,7657,3452,1136,2726,1932,2050,1393,1651,1873,2831,3123,3368,2950,1959,1634,1311,1035,481,456,903,1055,1096,445,272,48,,,,,,,,,,,620,588,562,557,537,505,482,475,447,519,353,340,256,251,235,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4607,6542,23835,24244,20120,20666,14936,14248,17098,3856,22339,18744,21818,19140,17530,17333,16326,15671,15258,15410,14716,4041,12987,11751,9939,9521,6065,6483,4587,,,1207,1544,639,834,793,852,943,,856,334,675,649,538,432,,607,711,658,526,856,662,699,695,788,380,331,330,393,397,387,331,396,,554,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,,,,,,,,,,,,,,,,,,,3405,3533,3225,6786,6600,6867,3304,2871,2835,2930,2745,3139,3093,2915,1981,986,2670,2405,1991,1637,1216,1096,1379,1115,1105,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
