County,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860
Plumas,,,,,,,,,,,,,,,,,,,,2126,3186,3263,3233,2976,2873,2879,2913,3003,3056,3201,3049,2949,2098,1010,2956,2690,2509,2468,2112,1929,2168,2149,1920,1833,3150,3337,2417,2295,2162,2101,1713,1606,1583,1486,1479,1836,1792,1730,1614,1815,2166,2350,2121,2165,2194,752,2357,2004,1975,1966,2009,1828,1603,1787,1666,1500,1537,1698,1655,1400,1925,1786,1898,1841,1727,1646,1431,1237,1077,1573,1816,1214,1023,945,917,954,1025,952,998,927,1007,929,1034,896,953,1009,966,899,891,1117,1030,946,779,936,583,618,691,588,507,342,339,334,353,295,315,343,317,326,340,382,520,518,514,585,469,491,538,498,403,334,327,338,268,177,292,262,291,280,260,266,287,242,244,208,274,111,,,45,137,37,81
San Bernardino,,,433,252,5627,9437,8740,10809,11099,11175,10522,12727,18294,33755,38483,36767,33054,34237,33683,31280,31038,30100,27141,39839,69598,62882,66467,69440,73602,52861,68269,68184,48416,21331,60242,59275,58044,54598,54071,63259,62482,60276,59672,57646,59719,58710,57639,61191,54999,59140,58613,59591,58642,58017,51983,54034,54073,51114,49876,48193,41797,44274,42411,46741,44410,12929,34671,33722,36097,21857,29949,29537,28286,28388,26555,23315,19736,21166,20523,21555,22063,21308,21221,23436,21519,22363,17734,17941,17656,16635,17857,19002,18829,16853,11012,18861,21142,19525,16184,11973,12000,11260,11769,15197,15426,15462,15160,15225,15841,13678,11844,11833,10095,9997,10515,9366,8405,7935,8507,11152,8607,8540,8425,6326,7554,7414,5930,6028,6776,6086,5880,3509,3799,4092,2426,373,85,,,75,174,1172,1036,340,797,677,581,154,285,247,231,214,219,228,206,,,,,,,
Stanislaus,8223,9956,12096,6801,14558,18465,20025,20082,28771,22630,32894,81611,83822,98035,116874,135647,133882,129317,89000,85347,78000,78868,80264,77468,79484,76101,76894,64508,67877,70828,72822,77585,50983,22978,60173,54048,57253,55423,49267,46876,45431,43304,41245,40013,36700,31167,30237,30733,28300,25606,24224,24359,24726,23335,21858,20413,19781,19066,21025,19569,18648,17588,17710,16780,14949,4999,14419,13875,14403,15166,14060,13856,13599,12036,9482,8756,7714,7052,7308,8062,8001,8088,8054,14508,14816,14460,12835,12485,17470,19232,20065,21740,23737,24598,19447,13136,9723,11637,11914,11283,10182,10915,10042,8863,9398,8689,8430,8122,7662,8485,7746,7453,6569,4129,2033,1449,1880,3796,2060,2710,2718,2641,2506,2185,2306,2260,2533,2518,2694,2657,1902,2538,2324,2001,1947,2145,1823,391,9,26,16,230,,414,645,499,313,228,222,228,227,231,226,186,,,,,,,,
El Dorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,530,583,604,610,656,648,552,582,628,641,617,624,593,808,1972,1855,1812,1689,1804,1860,1908,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,261,254,
Tulare,8879,9910,12831,7651,17482,20523,20740,38588,34863,20054,17152,18117,19596,24075,34787,31145,32792,32500,30688,29363,16177,12327,10105,8411,6674,6572,6491,6221,5538,6382,7133,7003,4834,4341,12819,8082,6662,6672,6486,7178,6884,6912,7094,6732,6730,6771,6283,8012,6574,6366,5697,5652,5573,5818,5621,5715,6056,5994,6904,6826,6806,12681,10536,5861,5610,1938,5830,13680,14065,14118,13172,12912,10297,9206,10846,10518,8891,9625,8804,9427,10910,10640,9935,9980,11054,11593,9757,8695,7883,10386,11067,7082,7123,7207,8614,9306,8460,8924,9198,9103,8577,7948,7883,6994,5949,6863,6620,9126,7724,7492,7146,7218,5640,4261,5269,5777,4353,3571,3186,3175,4512,4671,4508,4599,4486,4465,4525,4347,4560,4123,1648,1294,1423,1342,542,72,272,500,353,207,272,425,447,279,463,471,,,71,237,230,17,177,12,,,,,,,,98
Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23919,26630,30210,23811,11171,35760,38871,39503,42041,51834,55731,62188,55908,54215,55290,78853,70553,59453,64486,63363,58052,63923,51395,53841,59888,59156,55702,51066,49645,44926,45290,46079,47860,44703,40131,44601,14365,43223,39397,38950,40672,38010,35830,34181,32984,28934,28285,25176,29305,32414,27358,31624,29107,29398,28010,27909,30269,29947,27272,25973,25060,28832,33429,36041,30446,29513,29488,27873,26569,27443,26459,22470,16334,17169,15098,14456,17225,19000,22500,21712,27648,29399,26259,25903,23178,21590,21777,18005,15377,14139,12916,11964,11099,8101,9389,10153,7069,7597,6532,7282,6228,5537,6129,5819,5967,4051,3896,3543,3800,3584,3502,2469,4031,3669,1507,3342,3087,3351,2290,1380,1254,1175,246,307,,,,,,,,,
Santa Barbara,7919,9069,17810,9781,19727,20610,20407,18250,18553,18074,18328,19129,18623,19797,21937,27490,28240,24934,24590,23871,23429,24715,25217,23499,23357,23429,22593,24298,22877,23116,24570,25320,16421,7503,23849,24002,22724,25080,24721,23543,22522,22183,23231,23295,22226,22483,20600,19916,20592,20532,20715,19778,19241,18036,17297,16934,16605,16221,15038,13024,12390,9853,8634,6422,6452,2299,6160,5945,5816,5794,5574,5749,5225,4594,5116,4564,4171,3930,3879,3967,4225,4110,4287,4291,4430,4579,4023,3534,3476,3863,4267,4696,6043,5015,11138,9536,2784,3290,2648,2750,2869,2681,7564,6459,5193,4918,4491,4216,3771,3164,3897,3849,3892,2673,1928,1860,331,1168,2825,275,2751,4043,889,302,1600,2946,1808,1555,1347,1715,1891,1889,1892,1921,1898,1895,1884,2462,1643,748,35,498,438,276,445,1005,1519,505,260,216,206,111,14,,,,,,,,,
Merced,5739,6618,7881,4841,10359,12553,11917,11997,5103,1064,1093,1128,1106,1255,1286,1205,1112,1114,1075,1038,13419,11174,57,,1027,1056,1476,3051,1722,1691,1785,1641,1216,583,1711,1702,1657,1013,991,969,868,864,790,1155,993,777,571,600,721,725,651,649,771,678,698,782,772,884,1904,1797,1785,1741,1782,1769,1771,524,1803,2261,2319,2028,1767,1824,1900,1745,1533,1523,1627,1761,1575,1582,1606,1159,1223,1290,1593,1389,974,787,576,434,1005,1022,1013,882,839,732,616,544,432,331,494,522,485,691,761,834,798,764,881,682,511,285,298,340,276,277,270,246,240,256,258,257,234,227,232,253,263,229,210,224,236,145,5,228,206,249,251,230,182,222,167,219,213,11,223,220,200,154,193,145,,,,,,,,,,,,
Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,102,260,197,,,,,,,,,,,,,
Mendocino,1289,1567,1599,813,1621,1571,3392,1736,1944,1691,2042,2169,2541,2489,2373,10391,10150,10032,10003,9108,9747,15541,18945,14424,10892,8154,8582,9064,8091,8718,8822,9394,6727,3085,9308,8820,9062,7258,6763,12530,17745,15444,10138,5998,11009,6126,7014,9190,6544,8471,7301,6725,5830,5643,5014,4880,4843,5099,4749,6836,7319,4725,5127,2853,5710,1347,6538,4387,3094,872,3652,2785,1845,1795,891,1898,1725,599,689,1998,801,1719,4233,3188,1896,2850,3410,1919,706,2851,2091,1665,1128,1927,2282,2276,1983,3310,1849,3011,1818,1425,2444,956,1983,3156,3429,3139,2554,3272,3012,2969,2590,2005,2371,1887,1986,1919,1451,1832,1960,1396,995,1538,1673,1310,965,869,877,1300,1494,1119,512,579,298,300,284,322,497,570,275,580,702,484,170,189,244,239,49,,,,,,,,,,,,,
