"","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Glenn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Humboldt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.62962962962963,0,0,0,0,0,2.10970464135021,0,1.9723865877712,0,0,0,1.80831826401447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89296046287367,0,0,1.00704934541793,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.278164116828929,0,0,0,0,0.10489877268436,0.0886524822695035,0.0958037938302357,0,0,0,0,0,0,0,0,0,0,0,0,0.093984962406015,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6.89655172413793,0,0,0,0,2.90275761973875,5.82241630276565,1.56739811912226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.694927032661571,0,0,1.00704934541793,0.419287211740042,0.478316326530612,0.870574579222287,0.260960334029228,0.260010400416017,1.04759054175397,0.650477016478751,0,0.179726815240834,0.102375102375102,0.176740897843761,0.39177277179236,0,0,0.23872045834328,0,0,0.100441944556047,0,0,0,0.896860986547085,NA,NA,NA,0,0,NA,NA,0,0.10671219720414,0.257532835436518,0,0.224164985429276,0,0,0,0,0,0,0.110778774786751,0.152543665624285,0.0662910175671197,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.98019801980198,0,0,0,0,0,0,0,0.47438330170778,0,0.45045045045045,0.574712643678161,0.508001016002032,0.76530612244898,2.52525252525253,3.00647548566142,1.60036579789666,0.637484062898428,0.631578947368421,0.235682300259251,0.267165375367352,0,0,0.230467849734962,0.265181649429859,0.379362670713202,0.138927479855515,0.137419266181119,0,0,0,0,0.14494854326714,0.137211855104281,0.257532835436518,0.131700250230475,0,0.303951367781155,0,0.304321363359708,0,0,0,0.345303867403315,0.141262890238734,0.135519718118986,0.126087504728281,0.127275041364388,0,0,0,0.231776567389037,0,0,0,0,0,0,0,0,0,0,0,0.313038034121146,0.150806816468104,0,0,0.142816338189089,0.134426670251378,0,0.129819550824354,0,0.130531262237306,0,0,0,0,0.109134562916076,0,0.369071784462078,0,0,0,0,0.0580012760280726,0,0.0576036866359447,0.0590562806354456,0,0,0,0,0.0782717595491547,0.0785114234121065,0,0,0.0785422557335847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.84615384615385,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lassen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705467372134039,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Los Angeles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52074733869216,1.24455507156192,0.543478260869565,9.04636260836789,0.865426222414539,0.35650623885918,0.6765899864682,0.979431929480901,0.615195324515534,1.44341801385681,2.75633958103638,10.0468854655057,1.46365262644332,1.15074798619102,0.328164738698827,0.287466462246071,0.467763311764247,0.347342827370615,0.866666666666667,0.852636066505613,0.518034060739494,0.533817327710458,0.351440907721659,0.326644890340644,0.195963158926122,0.481669788600482,0.200400801603206,0.273261374504714,0.12058362474376,0.381322147883662,0.252852492177376,0.0909157029602153,0.545184206178754,0.797196525551809,1.8165458465613,2.95738674553031,1.42280963747751,0.980108615315402,0.396521548895209,0.319977740678909,0.205302674800563,0.195954297428477,0.162558373234025,0.0906864967806294,0.0284811027883,0.101466186393384,0.13533771966353,0.0807713665505578,0.0915516168015527,0.144604795095005,0.0629489484028453,0.0277692927161145,0.04694174529409,0.123367582524101,0.153036978566768,0.108660957438861,0.104131413844271,0.0573544312670868,0.0678119349005425,0.0808963313513732,0.0738407009943881,0.0610449367040313,0.081836104601421,0.0994910649370528,0.0320574469449253,0.0629603979097148,0.0507147152368739,0.0760635061127399,0.11533008147731,0.0343335851129575,0.0158221589335865,0.0524865503214801,0.143863364331093,0.0428439836335983,0.0336710054162217,0.0215431811523017,0.0439926092416474,0.0397707613316842,0.0239097169089518,0.0673006953003083,0.0225264967918514,0.0323480361147852,0.160883788276935,0.0312368761735521,0.0132339463959001,0.0345638047836306,0.0536896736860944,0.0540780887601697,0.022222151675709,0.021499828001376,0.0215190612770641,0.00638086760656846,0.00340022713517263,0.00739439874295221,0.00313721553298155,0.01447366516623,0.0165900758166465,0.0414018672242118,0.0706267337882218,0.0535079833911219,0.034958787473878,0.0124835113620759,0.0105864916366716,0.0278367160098233,0.0109289020278578,0.0590794349857672,0.0256717000313195,0.137054178571052,0.0684242937823371,0.0606382172364133,0.0363025820211463,0.00404909118148432,0.0239793777351478,0.0656432159924379,0.274838532362237,0.0232838357791063,0.04885289641307,0.0472418160935152,0.0858242083456644,0.0500225101295583,0.0393433593327366,0.0758194532038888,0.0335057015535477,0.0660805208536212,0.0218988149612704,0.138534658529828,0.101847069350579,0.182400053061834,0.0554882503629856,0.110451235779403,0.176167277605751,0.0116862703852379,0.0186841384120974,0.0332971504298662,0.033415758871884,0,0.0267036957914975,0.0578871201157742,0,0.0159979522621105,0.0144231462651263,0.0175969592454424,0.0182222384197675,0.0415670788735322,0.0429737859905458,0,0.0346680533888022,0
"Madera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
